Hostname,IP,Status,Last Seen,Version,User
Actin-CS-3922j22jj,192.168.5.37,onlinesbsdsns,2026-03-26T14:51:06.928509,1.0.82,AzureAD\SuyashBartarya
Actin-CS-26,192.168.8.189,online,2026-03-26T14:51:49.159087,1.0.82,AzureAD\MayuriWabale
Actin-004,192.168.8.37,online,2026-03-26T14:32:30.860870,1.0.77,AzureAD\AnujaPatil
Oraapiint,192.168.16.11,online,2026-03-26T14:54:47.674321,1.0.44,actinadmin
Actin-CS-34,192.168.1.34,offline,2026-03-23T18:06:54.989515,1.0.77,unknown
KTLKD-L024,192.168.21.64,online,2026-03-26T14:29:16.537935,1.0.78,AzureAD\MukulChaudhari
Actin-008,192.168.5.84,offline,2026-03-20T16:28:45.135803,1.0.77,unknown
Actin-CS-50,10.174.196.172,compromised,2026-03-24T10:29:21.726379,1.0.77,MahimaShrivastava
Actin-021,192.168.8.42,online,2026-03-26T14:47:24.698897,1.0.82,ACTIN-021\Pranavp
Actin-CS-23,10.99.24.108,offline,2026-03-25T14:42:13.132030,1.0.77,unknown
Actin-CS-78,192.168.8.196,offline,2026-03-20T11:06:14.200716,1.0.77,unknown
Actin-CS-38,192.168.8.79,compromised,2026-03-25T16:10:24.379171,1.0.82,ACTIN-CS-38$
Actin-CS-31,192.168.8.56,offline,2026-03-23T10:07:58.519115,1.0.77,unknown
Actin-CS-109,192.168.8.27,online,2026-03-26T14:29:18.202919,1.0.77,AzureAD\SakshiPatil
Actin-CS-32,192.168.5.130,online,2026-03-26T14:33:32.359030,1.0.82,AzureAD\AdityaRajput
Actin-CS-73,192.168.5.35,online,2026-03-26T14:37:32.446695,1.0.82,AzureAD\KushalPardeshi
Actin-CS-18,192.168.8.81,offline,2026-03-26T13:03:46.205822,1.0.77,AzureAD\AditiDewarde
Actin-CS-81,192.168.8.41,online,2026-03-26T14:49:55.110290,1.0.77,AzureAD\DhanajiShinde
Actin-CS-90,192.168.8.92,online,2026-03-26T14:34:55.762004,1.0.77,AzureAD\SandipPatil
Actin-CS-19,192.168.8.184,online,2026-03-26T14:54:15.538133,1.0.77,AzureAD\SaurabhNirmale
Actin-CS-48,172.16.10.110,online,2026-03-26T14:49:11.022274,1.0.85,AzureAD\DadeshKarande
Actin-012,192.168.8.168,compromised,2026-03-25T14:46:58.755254,1.0.81,ACTIN-012$
Actin-36,192.168.24.50,offline,2026-03-20T11:19:32.528332,1.0.0,unknown
Actin-CS-87,172.29.64.1,offline,2026-03-09T17:32:33.126135,1.0.41,unknown
Actin-13,192.168.31.135,offline,2026-03-26T10:28:39.329714,1.0.82,AzureAD\MandarIrle
Actin-CS-96,192.168.0.146,offline,2026-03-23T09:38:12.838027,1.0.77,unknown
Actin-CS-62,192.168.31.87,online,2026-03-26T14:49:49.778710,1.0.82,AzureAD\PoonamKatyare
Actin-CS-100,192.168.20.147,offline,2026-03-25T14:47:02.143487,1.0.81,unknown
Actin-CS-70,192.168.8.72,online,2026-03-26T14:49:59.641274,1.0.82,AzureAD\SayaliAjab
Actin-CS-16,192.168.5.122,online,2026-03-26T14:44:48.590583,1.0.82,AzureAD\VaishnaviAdsure
