hostname,ip,timestamp,cpu,memory,Disk_C:,os,Open Ports Count,Hardening_firewall,Hardening_defender,Hardening_smb_v1_disabled,Hardening_rdp_disabled,Hardening_uac_enabled,Hardening_password_policy,Hardening_auto_updates,Hardening_DefSig_antivirus_version,Hardening_DefSig_antispyware_version,Hardening_DefSig_last_updated,Hardening_DefSig_status,usb_storage_status,status,agent_version,Manufacturer,Model,Serial Number,Processor,Device Type,Installed Software Count,Latest Patch Installed,Patch Installed On,total_ram_gb,free_ram_mb,ram_modules_count,current_user,logged_user,MAC_0_adapter,MAC_0_mac_address,MAC_1_adapter,MAC_1_mac_address,MAC_2_adapter,MAC_2_mac_address,primary_mac,last_seen,compliance_status,health_status
Oraapiint,192.168.16.11,2026-03-24T12:21:01.025442,0,12.69,,Ubuntu 24.04.2 LTS,14,FAIL,,,,,FAIL,PASS,,,,,error,online,1.0.44,Microsoft Corporation,Virtual Machine,0000-0000-1864-8414-9790-2636-81,AMD EPYC 7763 64-Core Processor,Desktop,1154,python3-openssl:all,2026-03-24 06:19:28,15.62,3990.04,10,root,actinadmin,eth0,60:45:bd:73:8a:3a,,,,,60:45:bd:73:8a:3a,2026-03-24T12:21:01.592427,UNKNOWN,Good
Actin-CS-62,192.168.31.87,2026-03-24T12:12:50.823825,57,77.98,92.82,Microsoft Windows 11 Pro (Build 26200),51,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,24-03-2026 04:59:39,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP0X,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,306,KB5077869,12 February 2026 00:00:00,15.53,3459.12,1,NT AUTHORITY\SYSTEM,AzureAD\PoonamKatyare,Wi-Fi,B0-47-E9-5D-01-92,vEthernet (Default Switch),00-15-5D-80-17-68,vEthernet (WSL (Hyper-V firewall)),00-15-5D-1C-28-3E,B0-47-E9-5D-01-92,2026-03-24T12:12:26.616832,COMPLIANT,Warning
KTLKD-L024,192.168.21.64,2026-03-24T12:05:20.525512,14,77.75,80.31,Microsoft Windows 10 Enterprise (Build 19045),28,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.78,LENOVO,21E4S3BX00,PG03TMXL,12th Gen Intel(R) Core(TM) i5-1245U,Desktop/Laptop,132,KB5072653,"Thursday, November 20, 2025 12:00:00 AM",15.69,3566.42,2,NT AUTHORITY\SYSTEM,AzureAD\MukulChaudhari,Wi-Fi,70-D8-23-B1-E7-DE,,,,,70-D8-23-B1-E7-DE,2026-03-24T12:05:30.341025,COMPLIANT,Warning
Actin-021,192.168.8.28,2026-03-20T10:49:30.019580,,,69.19,Microsoft Windows 10 Enterprise (Build 19045),21,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,20RAS1RA00,PG027KRK,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,Desktop/Laptop,54,KB5072653,25 November 2025 00:00:00,15.81,8526.89,1,ACTIN-021\Pranavp,ACTIN-021\Pranavp,Wi-Fi,04-6C-59-BC-EA-21,,,,,04-6C-59-BC-EA-21,2026-03-20T10:49:48.650583,COMPLIANT,Good
Actin-004,192.168.8.25,2026-03-20T10:45:53.793332,,,94.47,Microsoft Windows 11 Pro (Build 26200),19,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.41,LENOVO,21DH,PG03WFA6,12th Gen Intel(R) Core(TM) i5-1235U,Laptop,51,KB5079473,11 March 2026 00:00:00,15.72,3294.22,2,AzureAD\AnujaPatil,AzureAD\AnujaPatil,Wi-Fi,04-EC-D8-16-9E-1E,,,,,04-EC-D8-16-9E-1E,2026-03-20T10:46:06.818637,COMPLIANT,Good
Actin-CS-34,192.168.1.34,2026-03-23T18:06:31.826961,,,31.24,Microsoft Windows 11 Pro (Build 26200),14,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,3/23/2026 3:32:32 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP7R,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,45,KB5079473,"Wednesday, March 18, 2026 12:00:00 AM",15.53,8309.88,2,NT AUTHORITY\SYSTEM,AzureAD\OmkarChakor,Wi-Fi,C8-15-4E-D5-79-9C,,,,,C8-15-4E-D5-79-9C,2026-03-23T18:06:54.989515,COMPLIANT,Good
Actin-CS-39,192.168.5.37,2026-03-23T10:11:58.058004,,,59.87,Microsoft Windows 11 Pro (Build 26200),19,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,3/20/2026 2:31:27 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP08,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,231,KB5079473,"Friday, March 13, 2026 12:00:00 AM",15.53,7385.18,2,AzureAD\SuyashBartarya,AzureAD\SuyashBartarya,Wi-Fi,B0-47-E9-5D-00-93,,,,,B0-47-E9-5D-00-93,2026-03-23T10:12:07.600670,COMPLIANT,Good
Actin-008,192.168.5.84,2026-03-20T16:28:05.999846,,,74.56,Microsoft Windows 11 Pro (Build 26200),12,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.663.0,1.445.663.0,20-03-2026 08:18:17,PASS,enabled,online,1.0.77,LENOVO,20VD,PG03JM19,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Desktop/Laptop,33,KB5054156,20 March 2026 00:00:00,7.79,949.79,1,NT AUTHORITY\SYSTEM,AzureAD\SonalMahajan,Wi-Fi,04-CF-4B-C9-AD-10,,,,,04-CF-4B-C9-AD-10,2026-03-20T16:28:45.135803,COMPLIANT,Good
Actin-CS-50,10.174.196.172,2026-03-23T09:56:56.594401,,,58.03,Microsoft Windows 11 Pro (Build 26200),13,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.597.0,1.445.597.0,18-03-2026 01:56:57,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EPAF,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,20,KB5079473,13 March 2026 00:00:00,15.53,7541.42,2,AzureAD\MahimaShrivastava,AzureAD\MahimaShrivastava,Wi-Fi,C8-15-4E-D5-8B-21,,,,,C8-15-4E-D5-8B-21,2026-03-23T09:57:06.552560,COMPLIANT,Good
Actin-CS-23,192.168.8.70,2026-03-24T12:09:10.730676,27,72.59,68.61,Microsoft Windows 11 Pro (Build 26200),22,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP04,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,127,KB5085516,"Monday, March 23, 2026 12:00:00 AM",15.53,4039.52,2,AzureAD\PratikGujar,AzureAD\PratikGujar,Ethernet 2,54-16-2A-7B-26-0E,Wi-Fi,B0-47-E9-5D-02-2D,,,54-16-2A-7B-26-0E,2026-03-24T12:09:25.492063,COMPLIANT,Warning
Actin-CS-78,192.168.8.196,2026-03-20T11:06:03.244169,,,45.38,Microsoft Windows 11 Business (Build 26200),21,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.601.0,1.445.601.0,3/18/2026 8:51:47 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04SGZ1,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,33,KB5079473,"Monday, March 16, 2026 12:00:00 AM",15.53,6342.56,2,AzureAD\SnehalChitambar,AzureAD\SnehalChitambar,Wi-Fi,DC-97-BA-1F-F4-4B,,,,,DC-97-BA-1F-F4-4B,2026-03-20T11:06:14.200716,COMPLIANT,Good
Actin-CS-73,192.168.5.35,2026-03-24T12:13:01.002696,34,72.44,48.85,Microsoft Windows 11 Pro (Build 26200),16,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.727.0,1.445.727.0,23/03/2026 23:52:55,PASS,disabled,online,1.0.77,LENOVO,21KG,PG04SH2M,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,21,KB5079473,15 March 2026 00:00:00,15.53,4349.99,2,NT AUTHORITY\SYSTEM,AzureAD\KushalPardeshi,WiFi,DC-97-BA-20-EF-E5,,,,,DC-97-BA-20-EF-E5,2026-03-24T12:13:14.709790,COMPLIANT,Warning
Actin-CS-32,192.168.8.170,2026-03-23T09:46:32.378336,,,69.57,Microsoft Windows 11 Pro (Build 26200),23,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,3/23/2026 3:32:32 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENW0,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,69,KB5083532,"Wednesday, March 11, 2026 12:00:00 AM",15.53,3442.22,2,AzureAD\AdityaRajput,AzureAD\AdityaRajput,Wi-Fi,4C-49-6C-35-4C-88,,,,,4C-49-6C-35-4C-88,2026-03-23T09:46:56.798232,COMPLIANT,Good
Actin-CS-31,192.168.8.56,2026-03-23T10:07:50.013626,,,80.01,Microsoft Windows 10 Enterprise (Build 19045),25,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,3/20/2026 2:31:27 AM,PASS,enabled,online,1.0.77,LENOVO,21E4S3BX00,PG03TMWG,12th Gen Intel(R) Core(TM) i5-1245U,Desktop/Laptop,292,KB5072653,"Monday, November 24, 2025 12:00:00 AM",15.69,7571.52,2,AzureAD\SnehaChimegave,AzureAD\SnehaChimegave,Wi-Fi,70-D8-23-B1-A6-5C,,,,,70-D8-23-B1-A6-5C,2026-03-23T10:07:58.519115,COMPLIANT,Good
Actin-CS-19,192.168.8.184,2026-03-24T09:51:22.965600,1,56.17,87.91,Microsoft Windows 11 Pro (Build 26200),20,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,23-03-2026 03:32:32,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP95,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,166,KB5085516,22 March 2026 00:00:00,15.53,6944.16,2,AzureAD\SaurabhNirmale,AzureAD\SaurabhNirmale,Wi-Fi,C8-15-4E-D4-E9-AA,,,,,C8-15-4E-D4-E9-AA,2026-03-24T09:51:35.885695,COMPLIANT,Warning
Actin-CS-90,10.224.2.76,2026-03-15T18:05:10.629980,,,74.89,Microsoft Windows 11 Pro (Build 26100),24,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.548.0,1.445.548.0,15-03-2026 10:33:06,PASS,enabled,online,1.0.41,LENOVO,21KG,PG04TE3P,13th Gen Intel(R) Core(TM) i5-1335U,Laptop,124,KB5077869,11 February 2026 00:00:00,15.53,1104.77,2,AzureAD\SandipPatil,AzureAD\SandipPatil,Wi-Fi,5C-B4-7E-3C-F4-5B,,,,,5C-B4-7E-3C-F4-5B,2026-03-15T18:05:46.376271,COMPLIANT,Good
Actin-CS-48,172.16.10.110,2026-03-24T12:06:14.660103,27,80.83,34.43,Microsoft Windows 11 Business (Build 26200),21,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.85,LENOVO,21KG,PG04EP4S,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,43,KB5085516,"Monday, March 23, 2026 12:00:00 AM",15.53,3072.48,2,NT AUTHORITY\SYSTEM,AzureAD\DadeshKarande,Wi-Fi,10-91-D1-51-BC-C9,,,,,10-91-D1-51-BC-C9,2026-03-24T12:06:32.409111,COMPLIANT,Critical
Actin-CS-14,172.16.10.76,2026-03-20T10:32:48.636755,,,68.11,Microsoft Windows 11 Pro (Build 26200),25,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.603.0,1.445.603.0,3/18/2026 11:54:22 AM,PASS,enabled,online,1.0.41,LENOVO,21KG,PG04EP10,13th Gen Intel(R) Core(TM) i5-1335U,Laptop,98,KB5074105,"Monday, February 9, 2026 12:00:00 AM",15.53,2545.88,2,AzureAD\AyushAtkare,AzureAD\AyushAtkare,Wi-Fi,B0-47-E9-5D-00-BB,Ethernet 2,54-DB-75-22-D7-0E,,,B0-47-E9-5D-00-BB,2026-03-20T10:33:14.595455,COMPLIANT,Good
