SubscriptionName,SubscriptionGuid,Date,ResourceGuid,,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-01-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-02-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-03-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-04-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-05-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-06-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-07-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-08-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-09-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-10-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
